,authors,countries,date,rating,reviews,aircraft,traveller type,seat type,route,date flown,seat comfort,cabin staff service,food & beverages,inflight entertainment,ground service,wifi,value for money,recommended,verified,start airport,end airport,transfer airport,sentiment analysis,sentiment analysis scores
13,K Baurten,Oman,2023-08-06,2,"Even if its a low budget airline, the crew could say hello when entering the plane, instead of that, the crew member simple stood at the entrance with arms crossed. Seemed we were all unwelcome. Most of the staff unfriendly and no smile at all. Unfortunately i have no other choice then Pegasus to fly to Berlin as fast as possible, but their rudeness alone will make me choose a longer way next time.",,Solo Leisure,Economy Class,Muscat to Berlin via Istanbul,August 2023,2.0,1.0,1.0,1.0,1.0,1.0,3,no,True,Muscat,Berlin,Istanbul,Negative,-0.8658
14,K Davies,India,2023-08-03,1,Worst travel experience in my life. They lost my bag on a local 1 hour flight and their attitude was do not give a damn and actually blamed me for the check in process. Don't ever travel on this airline the customer service has the most frustrated individuals and the board of directors are absolutely negligent professionals. I have sent over 40 emails and calls for my luggage with very little response and still don't have my bag. Its a complete scam and lie. Do yourself a favour avoid this airline at all costs,,Family Leisure,Economy Class,Istanbul to Izmir,June 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Istanbul,Izmir,,Negative,-0.946
15,D Ganeev,Israel,2023-07-26,3,"Pegasus is a budget airline, its main objective is to transport people at the lowest cost possible. They do so by removing unnecessary services, such as onboard meals and so on. No one expects luxury treatment when flying with Pegasus. The last time I flew with Pegasus my experience was beyond awful. During check-in, I asked an airline representative to check my carry-on bag and put it in the luggage compartment instead of the cabin. Usually airlines don't charge you for this. Sometimes they even ask you to do it when the flight is full. Pegasus told me this wasn't allowed, but I could pay 50USD for extra baggage allowance and in that case they would be able to check my carry-on. I agreed. Upon arrival to my final destination, I discovered that a few items were stolen. The total amount of damage was insignificant. I reported this incident to the airline, but they refused to compensate the damage, saying ""Pegasus's liability is limited"" and ""Pegasus accepts no responsibility for any liability over the applicable liability limits in accordance with legal regulations.""",,Solo Leisure,Economy Class,Tel Aviv to Antalya,July 2023,3.0,1.0,1.0,1.0,3.0,1.0,3,no,True,Tel Aviv,Antalya,,Negative,-0.9512
16,Phurbu Tshering,United States,2023-06-26,1,"We are flying Amsterdam to Istanbul on 21 June 2023. We had a connecting flight on Pegasus Airlines towards Istanbul at 11.45 am. As we reached the gate the Pegasus staff were horrible, I was shocked how they treated a passenger like that. Very rude, very bad attitude. I’m very shocked I cancelled my one week vacation and came back home. I lost my baggage, still haven't got my baggage. It was my worst trip. I will never recommend this airline to anybody. Please avoid.",,Family Leisure,Economy Class,Amsterdam to Istanbul,June 2023,1.0,1.0,,,1.0,,1,no,False,Amsterdam,Istanbul,,Negative,-0.9741
17,Reem Daye,Netherlands,2023-06-24,1,"In short, nothing goes right, timing, notifying about delays on right time, boarding on time i was supposed to fly 4 hours ago and the delay happened twice. And the employee was laughing when i asked her when are we boarding. Worst experience.",,Solo Leisure,Economy Class,Amsterdam to Beirut via Antalya,June 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,False,Amsterdam,Beirut,Antalya,Negative,-0.5423
18,Dmitry Medlev,Turkey,2023-06-23,2,"I fly Pegasus for work reasons and do this often, primarily my route is Ankara - Amman (Jordan). This is a night flight PC 1712, which always (!) gets delayed, most often by 1,5 hours. If Pegasus is unable to fly on time why under the Sun they do not change the flight departure time? And if it is always delayed why they would not warn the passengers beforehand? This is absolutely unacceptable. Yes OK Pegasus is a low-coster, but it does not mean they should behave like that.",,Solo Leisure,Economy Class,Ankara to Amman,June 2023,1.0,1.0,,,1.0,,1,no,False,Ankara,Amman,,Neutral,0.0127
19,E Walten,Ecuador,2023-05-27,1,"Never again. Tiny, uncomfortable seats, a completely full flight, forced to gate-check my small carry-on even though the ticket was supposed to have the same luggage allowance as the rest of the itinerary, 10 euros for a dry sandwich on board. Avoid at all costs.",,Business,Economy Class,Amsterdam to Istanbul,May 2023,1.0,1.0,1.0,,1.0,,1,no,True,Amsterdam,Istanbul,,Negative,-0.0041
20,H Tarenez,Mexico,2023-05-17,1,"Our flight was canceled just as we arrived at the airport, two hours before the flight. They moved our flight 11 hours later, we had to wait in an airport that doesn't even have flights at that time so the food businesses were closed (Yes!, they were closed from 10am to 5pm) luckily we had some food with us. They moved the other connecting flight from 1pm to 11pm, imagine arriving in a different country at midnight, my hotel reservation was lost and I almost missed a reservation for a $1,000 USD tour. Clearly that's not Pegasus's problem and it doesn't care either.",,Family Leisure,Economy Class,Denizli to Tel Aviv via Istanbul,May 2023,1.0,1.0,,1.0,1.0,,1,no,True,Denizli,Tel Aviv,Istanbul,Positive,0.6361
21,Tamar Kvlividze,Georgia,2023-05-01,1,"The staff is the most unhelpful, irresponsible and slow. First of all my flight to Istanbul got delayed 3 times. Then on May 1 I wanted to fly back home, arrived 3 hours early and this flight got delayed as well, gates have been changed a few times. In the end I arrived at the gate 15 minutes early and there was no staff anymore so I could not board the plane, same thing happened to 2 other people with different destinations, we were in the line together. I went to 4 Pegasus information/help centers in the airport, every single one was not willing to pay my next flight and blamed me for not arriving even earlier. The announcement when they say last call started a few minutes after I was at the gate but there was still no one. I ended up with the supervisor and they were rude very direct not even willing to hear properly. ",,Solo Leisure,Economy Class,Istanbul to Tbilisi,May 2023,3.0,3.0,,,1.0,,1,no,False,Istanbul,Tbilisi,,Negative,-0.872
22,Zaid Al Ramimi,Oman,2023-04-25,6,It was a very bad experience. Our flight was very delayed from Muscat to Istanbul and we can't get our next flight. Pegasus staff don't care at all we keep running to each Pegasus staff asking help what to do? Was very bad day we have other programs in Saint Petersburg and we was late 24 hours everything was mixed. In the end Pegasus staff told me to buy visa and to go to other Pegasus office and they promised me the visa payment Pegasus will refund it to me. Was no other choice to stay 24 hours in airport or to pay the visa. Finally we paid the visa to go to other office as Pegasus staff told us but after i paid my visa the Pegasus sent me email they will not refund it to me. What kind of services this how come we need to wait 24hours in the airport. Where is customer care?  They should pay me the money i spend because of them they delay the flight. I will never travel with them from now if they will not refund my right.,,Couple Leisure,Economy Class,Muscat to Saint Petersburg via Istanbul,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Muscat,Saint Petersburg,Istanbul,Neutral,0.1531
23,Jack Goss,United Kingdom,2023-04-13,1,"We checked in for a flight on 29th March to fly from Turkey to Georgia. There were zero issues and their staff didn't notify us that our bags were slightly over the limit. Our flight was cancelled. After 14 hours of waiting, we checked in for a second time (and their staff mentioned nothing about our bags being over the limit).  Once we were through security, we were pulled aside and asked to pay 200 Lira for our bags being slightly over the weight limit. Naturally, I tried to refuse because we were not told about it. Had their staff told us we could have moved some items from our luggage to our hand luggage and avoided the mess. We were told that if we did not pay, we would not be allowed on the flight. It then turned out that the 200 Lira was actually 480 Lira (approx £40 pounds). Two of their employees checked our luggage in with a smile and then had the audacity to inform us that we were slightly over the weight limit. Tto add insult to injury, one of our suit cases is now broken and they are refusing to refund the money. ",,Couple Leisure,Economy Class,Antalya to Tblisi,March 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,False,Antalya,Tblisi,,Negative,-0.8795
24,O Marney,Ukraine,2023-03-22,1,"I used this company flights few times and it was with troubles always. My flights were delayed from 1 till 3 hours, which was unappreciated especially when I was in transit. Their customer service is always unavailable - you cannot call them from any country exclude their native Turkey, but if you are there and trying to call them - they don't answer in 90% cases. They provide no answer by proposed on site WhatsApp, and by e-mail on noticed time (it's over 48 hours each time). But when they answer you it is absolutely inapplicable, because they provide you link to website or info from website only and never answer to your solid question. Usage of their services it just waste of money, time and your mental health. And when you onboard finally you should pay for all - including glass of water. I have extremely worst experience with this company!",,Solo Leisure,Economy Class,Frankfurt to Istanbul,March 2023,1.0,1.0,1.0,1.0,1.0,1.0,2,no,True,Frankfurt,Istanbul,,Negative,-0.9436
25,H Lees,Germany,2023-02-24,1,"Pegasus Airlines lost my bag. I filed a report at my destination airport, but even after multiple mails and calls, they didn't seem to care at all. I applied for a refund, but was offered a ridiculous amount of money. After three months, I finally received one half of the refund, but the other half is still missing. Pegasus does not answer my mails. I will never fly with this airline again, even if they offer the cheapest prices.",,Solo Leisure,Economy Class,Frankfurt to Tel Aviv via Antalya,October 2022,1.0,1.0,,1.0,1.0,1.0,1,no,True,Frankfurt,Tel Aviv,Antalya,Negative,-0.3818
26,R Karhil,Switzerland,2023-02-21,2,"I booked my flight back home on Sunday as we have to work on Monday. After checking-in and dropping my bag. I was informed that the flight was cancelled. Which is not the best news to hear of course. There was a long line of passengers that does not move, they wanted us to fly the next day, an offer that normally i won't refuse. However I had several meetings the day after that cannot be simply cancelled. It feels like they are throwing us from one person to another with no respect. I tried to find a reservation to a close airport. However they cancelled all their trips to the north due to weather reasons. There was no refund. My bag still did not arrive after 2 months.",,Solo Leisure,Economy Class,Zurich to Istanbul,December 2022,3.0,3.0,1.0,1.0,2.0,1.0,2,no,True,Zurich,Istanbul,,Neutral,0.4215
27,Maria Muntian,Egypt,2023-02-09,10,"I would like to thank the Pegasus team in Istanbul for the service and hard work they provide in this difficult time after Turkey suffered from the earthquake. The flight was delayed 2 hours and I missed my connecting flight. Considering the whole situation on the country and bad weather conditions, I suppose that delays may happen. Pegasus provided me with another ticket, free hotel stay till my next flight and food. Thank you.",,Solo Leisure,Economy Class,Amsterdam to Sharm el Sheikh via Istanbul,February 2023,4.0,4.0,,,5.0,,5,yes,True,Amsterdam,Sharm el Sheikh,Istanbul,Negative,-0.6486
28,Anastasia Ryzhkova,Russian Federation,2023-02-07,1,"Pegasus Airlines is your worst nightmare! Never ever take it if you have a choice. It’s not only because of impolite crew members who don’t even greet their customers on board, horrible sits and 2$ tiny water bottles. I took a flight from Sharm-el-Sheikh to St. Petersburg via Istanbul and since the first flight was delayed we missed the next flight and got stuck at the airport for next 10 hours without water, food or any further information regarding our flight. There was a Pegasus counter in transfer zone with 4-6 absolutely useless and incompetent employees doing nonsense. We were around 30ppl from different flights and it took 10 hours of queuing while Pegasus workers were doing nothing just making a mess with documents (losing boarding passes, taking passports and never bringing them back) and shouting at their customers. Finally after 10 hours of desperation they somehow figured out that a lot of passengers don’t even need a visa to enter Turkey and could be delivered to the hotel anytime. Than it took 2 hours for bus to pick us up and additional 20mins standing outside (0C in Istanbul and dozens of people flying back from Egypt in their summer clothes and not expecting winter strolls around snowy Istanbul) The most horrible flying experience in my entire life, choose any other airline if there’s an option never fly with Pegasus if you don’t want to ruin your day/vacation/physical and mental health.",,Family Leisure,Economy Class,Sharm el sheikh to St. Petersburg via Istanbul,February 2023,1.0,1.0,,,1.0,,1,no,False,Sharm el sheikh,St. Petersburg,Istanbul,Negative,-0.9767
29,F Hayne,United Kingdom,2023-02-05,1,Worst airline. I lost my connection flight from Istanbul to Doha from Manchester. Wasted 1 day and no information for the delay. The next day flight they booked from Istanbul to Doha is delayed again 2 hours. I will not recommend Pegasus airlines for this unacceptable approach. I had to lose my 2 days for the travel and such a tension in the airport when I missed the flight. I had to pay for the evisa for the stay in the country for the next day flight. No information or e emails or nothing from the airline.,,Family Leisure,Economy Class,Manchester to Doha via Istanbul,February 2023,2.0,2.0,,,1.0,,1,no,True,Manchester,Doha,Istanbul,Negative,-0.959
30,K Garatina,Russian Federation,2023-01-17,3,"It was my first flight after 6 years not flying anywhere. I didn't know the world has changed so hard that they didn't include food and drinks in the ticket price anymore. As you might know, Russian citizens cannot use their bank cards outside Russia due to some restrictions from Europe. So I was carrying some Euro in cash. I bought it in my Moscow bank the day before my trip. How was I supposed to know that all of my money were old Euros and I wouldn't get nor food, neither drink onboard? Seriously, the flight attendant took my 10-euro bill, then another one and returned them to me saying: I am sorry, you get no food and no water for 3.5 hours because your money is old. But what I had really gotten there was a huge amount of frustration and anxiety for 3.5 hours because all I could think about on that plane was are all my money old?  I had no problem with my cash anywhere after that flight. And I am curious if I get something to drink on my way back? What kind of money do you accept on your planes? Why don't you serve free water to your passengers?",A320,Solo Leisure,Economy Class,Moscow to Belgrade via Istanbul,January 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Moscow,Belgrade,Istanbul,Positive,0.6593
31,X Allard,Turkey,2023-01-12,1,"Pegasus lost my luggage, couldn't find it after 3 weeks and offered a ridiculous compensation of 248 Euros for which i had to pay 17E of transfer fee, bringing it down to 231 Euros. Not only do they not compensate for the trouble caused but their luggage refund hardly covers a bag with a few clothes. They may be able to bring people from point A to point B but don't seem to take much responsibility beyond that.",,Solo Leisure,Economy Class,Tel Aviv to Dalaman via Istanbul,November 2022,2.0,4.0,,,1.0,,1,no,True,Tel Aviv,Dalaman,Istanbul,Negative,-0.8074
32,E Garton,United Kingdom,2023-01-10,1,"Shocking experience! The worst uncomfortable and crammed seats I have ever seen, secondly there was no water running in the sink in the lavatories which surely is a concern with covid and all. The cabin crew arrived to our flight very late and because of that our flight I’m Doha was delayed and we nearly missed our connection flight. Cabin crew are unfriendly , always have angry closed faces and frown upon being asked anything like if we are disturbing them. I also saw the cabin crew refusing to give a cup of water to a pregnant lady who was flying on that 7 hr flight and had no euros because she was on a connection flight. No inflight entertainment is offered and the crew won’t dim the lights on an overnight flight preventing passengers from sleeping. But after all this for a traumatic first experience what really caused my biggest concern was the fact that several passengers (probably about 10!) started taking their bags and opening luggage compartments (and leaving them open) as soon the plane landed and it was still in taxi. The cabin crew turned a blind eye on this and one of them was actually sleeping on her seat next to us! Meanwhile a bag ended up falling out from the open compartment into a passengers head seating in aisle because this was allowed whilst the aircraft was still running taxi for a further 10 minutes.",,Couple Leisure,Economy Class,Doha to Tel Aviv via Istanbul,January 2023,1.0,1.0,,1.0,3.0,1.0,1,no,True,Doha,Tel Aviv,Istanbul,Negative,-0.9601
33,Oleg Maslov,Russian Federation,2023-01-05,1,"My wife and I had tickets Pegasus from Budapest to Istanbul on January 02, 2023 on flight PC-332. In the morning on the day of departure, we received an SMS about the cancellation of the flight due to bad weather conditions in Istanbul. This reason releases them from liability and indemnification of passengers. However, the weather forecast at Istanbul airport that day showed good weather. That is, the Pegasus airline brazenly deceived us all. Our attempts to change the flight did not lead to anything. The contact phone of the Pegasus did not answer. There was also no representative office of this company at the Budapest airport. All other flights to Istanbul of other companies that day were successfully completed. As a result, we bought more expensive tickets from Turkish Airlines and flew to Istanbul on the same day. Pegasus does not bear any responsibility to its passengers.",,Couple Leisure,Economy Class,Budapest to Istanbul,January 2023,1.0,1.0,,,1.0,,2,no,False,Budapest,Istanbul,,Negative,-0.2263
34,D Malline,France,2023-01-04,1,"This has been the worst experience of my life with this company, i am not even sure to travel again in the next years. A trip that should have taken half a day was transformed into 2 full days of Travel, waiting at the airport during a transfer in Turkey, queuing during hours to get a new flight, no information at all, nobody from the company apologizing for the situation or even giving information. They have no notion of customer service, you are not a human to them, just a problem on their route. I strongly advise you to avoid this company if you do not want to have a very unpleasant experience, as apparently they have very very frequent delays of flights and cancellations of flights due to purely financial reasons and a very bad overall organisation. Then if you miss a transfer you can be sure that the treatment of your demand will be very long and painful. ",,Solo Leisure,Economy Class,Beirut to Paris via Istanbul,January 2023,2.0,2.0,1.0,1.0,1.0,1.0,1,no,True,Beirut,Paris,Istanbul,Negative,-0.9345
35,Kassem Abdallah,Lebanon,2023-01-03,3,"Worst flight I’ve ever been on, abysmal start of a vacation. I don’t think the point of a budget airline is to absolutely humiliate and treat passengers like animals. To start off, our flight was delayed an unacceptable 4 hours at the gate without any explanation and it is still not clear why it got delayed. To top things off, when they let us into the plane, they told us to expect an additional hour of delay in the plane, seated in the most uncomfortable seats, and now one hour has passed with no news as to why all the delaying.",A321,Business,Economy Class,Beirut to Istanbul,January 2023,1.0,3.0,1.0,1.0,3.0,1.0,1,no,False,Beirut,Istanbul,,Negative,-0.9313
36,Sachin Atri,Germany,2023-01-03,4,"Pros- Low cost Airline. Normally hassle free. Cons - I had booked the flight from Munich to Dammam via Istanbul and had paid for the check in Baggage while booking the ticket online. I was told that the check in bag would be booked till Dammam. But strangely at the Istanbul Airport, I was asked to take the checked in bag as hand bag for which I had to pay extra for the Evisa to get inside Turkey to take the checked in bag. Despite several inquiries with the Airline staff, no real reason or explanation given for this inconvenience.",,Solo Leisure,Economy Class,Munich to Dammam via Istanbul,December 2022,3.0,3.0,3.0,,3.0,,4,yes,True,Munich,Dammam,Istanbul,Negative,-0.0258
37,M Ramelli,Argentina,2022-12-31,9,"I took a flight from Casablanca to Moscow with stopover in Istanbul. After reading reviews I was very afraid. I had only 2 hrs to so security control in Istanbul and I was afraid to losing it because of delays. My big luggage was 20,1 kg and I was afraid they will ask me to pay more weight because I bough 20 kg. My hand luggage was heavy and slightly bigger than the company rules. Also my luggage was checked in Casablanca and I was afraid they would loose it or no having enough time to put it in the second place. I was first in the lane when check in started. All was very fast and easy. They didn't charge extra weight, they didn't check hand luggage size or weight (I have seen passengers with many bags and they allowed them to go), both flights were in time, staff and crew kind and helpful.  I will fly again with Pegasus",A320,Couple Leisure,Economy Class,Casablanca to Moscow via Istanbul,December 2022,2.0,5.0,4.0,3.0,3.0,,5,yes,True,Casablanca,Moscow,Istanbul,Positive,0.9042
38,T Ahmet,United Kingdom,2022-12-08,1,Awful staff but great prices and routes. I only fly this airline because they have a direct flight from London to Ankara. One of their staff grabbed me and pulled me post check in to tell me I must check my hand luggage because of a full flight. I told them this is not possible due to having my laptop and valuables. The staff member began swearing at me and telling me he's will tell me what is possible and he will be waiting for me at the gate.,,Family Leisure,Economy Class,Stansted to Ankara,December 2022,,,,,1.0,,3,no,True,Stansted,Ankara,,Positive,0.802
39,K Sanakova,Russian Federation,2022-12-05,1,"The worst airline I have used. The staff is rude, they doesn't speak (or doesn't want to) English. The cabin was dirty. None of our 4 flights left on time, the maximum delay was 3 hours, which was not compensated. I saw seats that do not recline, extremely uncomfortable. There was no on-board catering, not even water, which no one reported when we were booking our tickets. And the airline broke my new suitcase. ",A320,Business,Economy Class,Moscow to Paris via Antalya,September 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Moscow,Paris,Antalya,Negative,-0.9293
40,K Anna,Finland,2022-12-04,1,"Today we were unfortunate to fly with Pegasus Airlines. Our flight was meant to departure from Helsinki at 14:45 which it didn't. And until 19 it wasn't even announced when it'll be. At 19 they said it'll be 0:15 Later they said it'll be 2:30 And now, at midnight they've updated it again - it's now 4:30 in the morning! It's 14 hours of wait! They update it every two hours! they gave a food voucher and a hotel, but you can't sleep - you have to wake up every hour and check if anything has changed! It's outrageous!! The worst flight of my entire life! Absolutely spoiled the beginning of our vacation and 120 EUR wasted on a hotel night we don't get to sleep in on top of ridiculous wait time!",,Couple Leisure,Economy Class,Helsinki to Istanbul,December 2022,1.0,1.0,,,2.0,,1,no,False,Helsinki,Istanbul,,Negative,-0.9186
41,Bahram Emami-Yeganeh,United States,2022-11-22,4,"I have previously given a review indicating my luggage was damaged. I couldn't find that review to amend it. The airline did pay for the damage fairly and I thank them for it. Also, I changed my rating for the cabin staff. My previous rating was for the Stockholm-Istanbul flight with the same airline.",,Family Leisure,Economy Class,"Antalya, Turkey to Stockholm, Sweden",October 2022,1.0,5.0,2.0,,3.0,,5,no,False,"Antalya, Turkey","Stockholm, Sweden",,Negative,-0.6486
42,H Morban,United States,2022-11-15,1,"This is by far the worst airline I have seen while traveling international they changed my gate last minute and I was running back and fourth trying to find my gate because they changed it last minute during boarding. They don’t care about there customers and only care about the money. I was running in the airport, employees are very rude and unprofessional they don’t even speak English. Pegasus employees did not help me find my gate I had asked them is this the right airline they told me flight was changed so we don’t know with a very little English. By far the worst experience for 400 dollar ticket one way to London. I will never purchase again as I almost missed my flight due to the lack of last minute changes. ",,Solo Leisure,Economy Class,Istanbul to London Stansted,November 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Istanbul,London Stansted,,Negative,-0.6952
43,Marta Nieprawska,Poland,2022-10-12,1,"The worst airline in the world. 2 weeks ago I was flying with them, my luggage was lost. I had in my luggage the medications necessary for my life because I'm chronically ill. Moreover, in my suitcase I had the things necessary for my work, because of their lack, I incur material losses. They ignore e-mails. I've been calling them for a week, they expose me to the costs of making calls abroad. My suitcase still hasn't arrived, although they promised to send it 72 hours after it went missing and arrive at the hotel within the next 2 days. 16 days have passed and the suitcases are still gone. They ruined my entire vacation!",,Couple Leisure,Economy Class,Sweden to Turkey,September 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,False,Sweden,Turkey,,Negative,-0.9524
44,Joanne Davies Hutchison,United Kingdom,2022-10-07,10,"Just had a lovely flight from Manchester to Dalaman. Crew, service faultless. Only thing it was a night flight and captain had the heating a bit high. But well done Pegasus.",A320,Couple Leisure,Economy Class,Manchester to Dalaman,October 2022,5.0,5.0,3.0,,5.0,,5,yes,True,Manchester,Dalaman,,Positive,0.836
45,E Gersen,Turkey,2022-09-27,9,"Punctual take-off and landing. Perfect ground service and cabin crew. Seating might have been better but not a major problem for a short haul. Overall, a very pleasant flight for a very good price. Surely recommended.",Boeing 737-800,Couple Leisure,Economy Class,Bodrum to Ankara,September 2022,4.0,5.0,,,5.0,,5,yes,True,Bodrum,Ankara,,Positive,0.9247
