,authors,countries,date,rating,reviews,aircraft,traveller type,seat type,route,date flown,seat comfort,cabin staff service,food & beverages,inflight entertainment,ground service,wifi,value for money,recommended,verified,start airport,end airport,transfer airport,sentiment analysis,sentiment analysis scores
15,Robert Roth,Canada,2023-10-10,1,"Awful service with rude employees. Charged us 88 euro to check in because we couldn’t check in on line, as we were travelling and driving from a place in France with no internet connection. They did not tell us flight was delayed 2 hours and we could have checked in at the airport online. Of course the poor service continued on the flight as well. Stay away from this Airline.",,Family Leisure,Economy Class,Lyon to Rome,October 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,False,Lyon,Rome,,Negative,-0.8519
16,S Mahnic,France,2023-10-07,1,"Three passengers (including me) could not be found in the record and therefore were denied boarding despites being checked in online (which we paid for). Wizz Air don't have their own staff on the ground and use a 3rd party company for check-in. Which means that any problem that occurs can not be solved by this staff. We called the service center and waited 50 minutes before talking to someone. So we all missed our flight. The customer service reps are extremely rude and won't hesitate to hung up on you (yes, it happened twice). The only way to ask for a refund is through their website by email only. It takes one month to get a response, and they will ask for documents that we were told about (such as a denied boarding form). ",,Solo Leisure,Economy Class,Dubai to Budapest,August 2023,1.0,1.0,,,1.0,,1,no,True,Dubai,Budapest,,Negative,-0.715
17,A Bermanadukkam,India,2023-10-07,1,"My recent flight experience with Wizz Air was nothing short of a nightmare.  I was shocked to discover that there was an additional fee for boarding at the counter, a cost that was never mentioned on my ticket or the airline's website. This lack of transparency is unacceptable and left me feeling cheated. The behavior of the boarding staff was utterly disrespectful and unprofessional. Their rudeness towards passengers was unwarranted and created a hostile atmosphere during the boarding process. To make matters worse, when I submitted nine passports for our group's boarding, we were issued with only seven boarding passes. The counter staff simply closed the counter, leaving two of our group members stranded at the airport, with no alternative but to wait an entire day for a flight change. My overall experience with Wizz Air was marred by these significant issues.  I sincerely hope that Wizz Air takes immediate action to address these problems, as no passenger should have to endure such a frustrating and distressing travel experience. I strongly advise potential travelers to exercise caution when considering this airline for their journeys. ",,Family Leisure,Economy Class,Medina to Abu Dhabi,October 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,False,Medina,Abu Dhabi,,Negative,-0.9438
18,Paula Abdul,Romania,2023-10-02,1,"Delays as usual, the gate is changing in the last minute, no information provided, arrived in the airplane 1 hr later then suppose. The aircraft is extremely dirty.",,Family Leisure,Economy Class,Bucharest to Rome,October 2023,1.0,3.0,,,1.0,,1,no,False,Bucharest,Rome,,Negative,-0.6697
19,H Lupu,Romania,2023-09-29,2,"The restrictions about baggage size and numbers are very tight, had to buy priority ticket for what we usually able to take as a hand luggage for free. If you don't check in online three hours before the departure you will have to pay for the registration 45 eur for a person. There's no clear indication about that during the buying process so for many people it was a surprise when they got to the counter. Worst service ever. Considering the nuances above you can buy tickets from almost any other company and it will be better price and better service for less money.",,Couple Leisure,Economy Class,Antalya to Bucharest,September 2023,2.0,2.0,,,1.0,,1,no,True,Antalya,Bucharest,,Positive,0.8137
20,Russel Crow,United Arab Emirates,2023-09-24,1,The most unreliable company ever. Knew about cancelation 3 hours later after check in. No representative to answer only airport staff who is claiming that they don't know anything! Terrible experience. Called to call center but useless! Will not ever use this again.,,Business,Economy Class,Abu Dhabi to Samarkand,September 2023,,,,,1.0,,1,no,False,Abu Dhabi,Samarkand,,Negative,-0.7096
21,M Rama,Albania,2023-09-24,1,"A very disgusting experience. Seats hard like on a bus, for a 6 hours flight. All boarding-exiting via remote stands and bus with long bus rides. Both flights had an extremely strong smell of human excrement on board. I don't know if it's due to the fact that Wizz Air flushes their aircraft less often than other airlines to save money, but I haven't experienced that on any airline regardless of the aircraft model and I've frequently flown the A321, hence it's not an equipment issue. Both aircraft very dirty with no cleaning done between the flights. Glitchy app often forcing customers to pay for airport check-in. Fly with Wizz Air only if you have no other choice or if they're dirt cheap. ",A321,Business,Economy Class,Bishkek to Tirana via Abu Dhabi,September 2023,1.0,2.0,1.0,1.0,1.0,1.0,2,no,True,Bishkek,Tirana,Abu Dhabi,Neutral,0.1851
22,S Weele,United Kingdom,2023-09-23,1,"The only thing reliable about this airline is that there will be delays. Do not make any time dependent plans of your day of travel as you will not be able to know if your flight is 1h or 5h delayed until you touch down on the runway. The worst part is the the absolute disregard for customer respect. They will not apologize for delays or keep you updated on why or how long the delay will be. After boarding 1.5hrs late, the plane did not start moving for 1h without a single piece of information from the crew. You will feel like your on a cattle transport rather than an airplane. Do not recommend",,Solo Leisure,Economy Class,Gatwick to Vienna,September 2023,1.0,1.0,,,1.0,,1,no,True,London,Vienna,,Negative,-0.5994
23,K Jackson,United States,2023-09-23,1,"I would strongly suggest avoiding this airline at all costs. The low upfront cost is a bait and switch, you will be hit with random charges that will likely surpass regular airline cost for a lower service. ",,Couple Leisure,Economy Class,Tirana to Milan,September 2023,1.0,3.0,,,1.0,,1,no,True,Tirana,Milan,,Negative,-0.5106
24,P Lynden,United Kingdom,2023-09-20,1,"Worst airline ever. Constantly late, rude staff and are now lying to airhelp about paying compensation. My pregnant wife had to sleep on the floor as the flight did not arrive until 4am. Compensation offered was 4 euros. I am disgusted.",,Couple Leisure,Economy Class,Athens to Gatwick,August 2023,1.0,1.0,,,1.0,,1,no,False,Athens,London,,Negative,-0.9081
25,Chris Leontopoulos,Greece,2023-09-19,1,They find unbelievable ways to make you pay for everything. Hardly a low cost airline. It is all about profiteering. What a shame!,A321,Business,Economy Class,London Gatwick to Athens,September 2023,2.0,1.0,1.0,1.0,1.0,1.0,1,no,False,London,Athens,,Negative,-0.5918
26,S Kaminski,Germany,2023-09-19,5,"Very okay experience. Leg space is narrow, food for purchase is just ok. But staff is very nice and professional. The ticket price was excellent value. And yes, this flight was delayed by an hour. But I would recommend.",A321,Solo Leisure,Economy Class,Berlin to Belgrade,September 2023,1.0,5.0,2.0,,4.0,,5,yes,True,Berlin,Belgrade,,Positive,0.9313
27,N Kan,United Kingdom,2023-09-19,1,"Wizz Air's handling of our recent flight from Nice to London Gatwick was nothing short of appalling. The flight was delayed by a whopping 5 hours, departing at 2:15 am instead of the scheduled 9:15 pm, with a pitiful EUR 4 compensation offered. When all the shops closed at 11:00pm no Wizz Air staff were in sight to provide any food or water. What's worse, there was zero communication from Wizz Air throughout this ordeal. The staff, from check-in to the gate, were not only unhelpful but also incredibly rude when passengers sought information about the delays. No updates were provided about the reasons for the delays or when the flight would actually take off. Wizz Air's treatment of passengers during this experience was shameful. They failed to meet basic expectations of courtesy and transparency during a significant disruption. They are black list in my books and I would warn anyone from considering with them.",,Couple Leisure,Economy Class,Nice to London Gatwick,September 2023,1.0,3.0,,,1.0,,1,no,True,Nice,London,,Negative,-0.9435
28,S Onoa,United Kingdom,2023-09-09,1,"My first and last time flying Wizz Air, an absolute disgrace from start to finish. Flying from London to Kosovo was a 5 hour delay and flying from North Macedonia back to London is a 3 hr delay. Still waiting. No one at the counter to give information get sent to airport information who send you back to WIZZ AIR. Whilst their lower price may be attractive you spend more money trying to correct this airline’s unreliability with plans you have made whilst delays may occur.",,Solo Leisure,Economy Class,,September 2023,2.0,1.0,,,1.0,,1,no,False,,,,Negative,-0.8074
29,T Darjav,Canada,2023-09-09,1,"Apparently they don’t allow transits even if you have valid transit visa and this is not mentioned anywhere except if you fine read their terms and conditions on the website. I suggest everyone not to fly Wizz Air unless you have tourist visa or citizenship of that country you’re flying to. Also, someone told me food is bad but I didn’t get a chance to try that.",,Solo Leisure,Economy Class,Dammam to Rome,September 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Dammam,Rome,,Neutral,0.0516
30,D Owens,United Kingdom,2023-09-08,2,"Had a great experience at airport, the staff employed by the airport and restaurants were really friendly and helpful 10/10. Unfortunately, we had booked with Wizz Air. The biggest mistake of my travelling life. Made to pay for hand luggage by a nasty little guy who seemed to enjoy making passengers pay for hand luggage (the same hand luggage that was entirely acceptable to Wizz Air on the outward journey). He informed us rules had changed but provided no evidence - this in my opinion is simply a money making scheme and I certainly wont be visiting Budapest again which is a great shame as we loved the place.",,Couple Leisure,Economy Class,Budapest to Edinburgh,September 2023,2.0,3.0,,,1.0,,1,no,False,Budapest,Edinburgh,,Positive,0.9481
31,Gareth Smit,Spain,2023-09-08,1,"Disgraceful, greedy airline. No frills does not mean take advantage of your passengers. I should’ve read other reviews first before booking. Despite being no frills, they could still treat customers with respect. The biggest let down for Hungary!",,Solo Leisure,Economy Class,London to Budapest,August 2023,1.0,1.0,,,1.0,,1,no,False,London,Budapest,,Neutral,0.1386
32,Jamie Simmons,United Kingdom,2023-09-07,3,The problem started with the booking. They were not explicit they gave measurement of cabin baggage without specifying it was for priority passengers only and they did did not mention during booking that if you do not do online check in you will have to pay. We ended having to argue with the uncompromising check in staff and we paid for 5 cabin bags. I would like to mention here we paid in Turkish liras at a very inflated exchange. Their call centre is total disgrace snd utterly useless.,A321 NEO,Family Leisure,Economy Class,Istanbul to Luton,September 2023,1.0,2.0,,,1.0,,1,no,False,Istanbul,Luton,,Negative,-0.8856
33,S Almeida,Brazil,2023-09-05,5,"As most people stated in here, Wizz Air is the least reliable of the LCC flying in Europe. Yes they do have very good prices but be prepared for last minute schedule changes, and 1,2,3 hours delays. At Oporto the staff did not even care to announce gate change, people were lost and confused. The planes are brand new so cleaning and conservation is not an issue now. When booking them try to get the fare with carry on as if you add it later it can be as expensive as the flight itself. I will keep flying them as long as the price is very low.",A321,Solo Leisure,Economy Class,Porto to Milan,August 2023,3.0,3.0,,,1.0,,5,yes,True,Porto,Milan,,Neutral,0.4767
34,Mira Vales,Czech Republic,2023-09-02,2,"Wizz is by far the least reliable air carrier I ever used. From the last three flights I took with them, all of them were delayed. And not ""ten-twenty minutes delayed"", several hours delayed. It has become so standard, staff doesn't even apologize anymore. I feel sorry every time I book them because I know it will be a shower, sadly some routes fly direct only with them. The worst airlines, the worst service. Period.",,Solo Leisure,Economy Class,Prague to Catania,September 2023,3.0,1.0,1.0,2.0,1.0,2.0,2,no,False,Prague,Catania,,Negative,-0.9451
35,Ion Tanko,United Kingdom,2023-08-31,1,"Departure airport: Faro Airport, FAO Scheduled departure time: 18/08/2023 9:15 PM Actual departure time: 19/08/2023 00:24 Arrival airport: London Gatwick Airport, LGW I took the above flight with Wizz Air after a three hour and 14 minutes delay and when I contacted them to raise a customer service query I was told, you can't claim or complain as we landed 2:33 minutes after the original arrival time! That gives you an idea of the customer service approach. As it turns out, they knew the day before the departure that the flight would be severely delayed but didn't bother to let the customers know until hours before checking in so you can't change flights. Customer service is not a priority and that became apparent by the enormous charges they apply on calls to customer services. Ryanair can learn some lessons in how to rinse customers! I gave them a 1 rating as zero is not available.",,Family Leisure,Economy Class,Faro to London,August 2023,3.0,3.0,,1.0,1.0,1.0,1,no,False,Faro,London,,Negative,-0.8481
36,S Moroianu,Sweden,2023-08-29,1,"Cea mai de rahat companie aeriana din toate cele care exista,in 2 luni mi-a fost schimbat zborul de doua ori ,daca vrei sa iei legatura cu ei,este imposibil ,am asteptat 45 minute sa vb cu cineva si nimeni nu a raspuns. - The worst airline out of all that exists, in 2 months my flight was changed twice, if you want to contact them, it is impossible, I waited 45 minutes to speak to someone and no one answered.",,Business,Economy Class,"Skavsta, Stockholm to Bucharest",May 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,False,"Skavsta, Stockholm",Bucharest,,Neutral,0.0
37,B Maric,Serbia,2023-08-28,1,"On a flight that was to last 120 min. the ""fasten your seat belts"" sign stayed on for the first 90 minutes due to the alleged turbulence, which was not felt in the plane. I waited until I could afford, then rang the bell to go to the bathroom urgently. No one answered, so I took a few steps from my 34th row to the nearest toilet. At that moment all hell broke loose, the darkness and silence shattered by an authoritarian female voice (""this is not a drill"" model) warning me to immediately return to my seat and threatening to have the police arrest me upon landing. I wish to have just disappeared at the astonished looks that showered me and returned to my seat, within five minutes the emergency sign was closed, the lights turned on, and the cabin crew started pulling trolleys between the rows some 20 minutes before landing. It was a night flight and my impression is that they didn't want to work unless truly necessary, at the cost of harassing passengers. I might fly Wizz Air again because of the convenient price, but if something like this happens again I will pay double just to be treated as a human. And yes, at the end they approached me to ""apologize"" because they thought I were pregnant (and still behaved as they did).",Airbus something,Family Leisure,Premium Economy,Copenhagen to Belgrade,August 2023,1.0,1.0,1.0,1.0,1.0,1.0,3,no,True,Copenhagen,Belgrade,,Negative,-0.5719
38,Daniel Rochester,Canada,2023-08-28,1,"Well, Wizz Air is a complete joke! The day before the flight, tried to complete online check-in, but it wouldn't let me without an account, which I didn't have. Being in the middle of a trip with limited internet, I decided to check-in at the airport. Check-in counter was scheduled to open 3 hours before the flight as per the information on the screen, so we lined up. An hour later, the check-in counter had still not opened. When it finally did, we waited another hour in line, only to be asked why we hadn't checked in when we got to the front. Above the counter where the giant words ""Check-In""; the irony of not allowing people to check-in at the check-in counter was seemingly lost on all but the passengers who were redirected to a different counter, where we were charged 40 EUR PER PERSON to check-in. As far as I can tell all that happened at this second counter was a payment was made, and then we returned to the ""check-in"" counter 160 EUR lighter, to drop our bags (because we had now already checked in, at a different counter from the check-in counter). I won't ever fly this absolute trash airline again, and I'd advise you against it as well!",,Family Leisure,Economy Class,Nice to Budapest,August 2023,2.0,2.0,,,1.0,,1,no,False,Nice,Budapest,,Neutral,0.3182
39,Teresa Roberts,United Kingdom,2023-08-28,2,"The flight out of London was delayed by 2 hours, no explanation or apology. The first time any gate information came up in departure lounge it said ""Gate Closed"". This was an hour after the flight was scheduled to have departed and all the passengers were killing time waiting for a simple gate number. Panic!! Then at the gate was pandemonium - everyone waiting in line, no movement, no staff to explain what was going on. Return from Vienna to Gatwick was only half an hour late but trying to check in and get a boarding pass is nigh on impossible. I paid for a seat hoping that would materialise in a boarding pass. No such luck as when the bording pass did arrive in my email inbox it was a different seat from the one I had paid for. The Wizz Air app is as badly organised as the whole company.",,Solo Leisure,Economy Class,London Gatwick to Vienna,August 2023,3.0,3.0,1.0,,2.0,,2,no,True,London,Vienna,,Negative,-0.8934
40,S Barton,United Kingdom,2023-08-26,1,I arrived at the airport 2 1/2 hours prior to departure. Wizz had three flights leaving at similar times and only 3 staff on check in desk and only one automated desk working. By the time we checked in and got through security the gate had closed. Wizz air did not apologise and told me it would cost £430 to get on a flight the following day even though the issue was their lack of staff. Absolute joke of an airline. It cost me £700 to get a flight from Stansted. Absolutely the worst experience of my life stood at the gate with 3 children whose holiday had just been effectively cancelled. The lack of compassion or any attempt to help is deplorable.,,Family Leisure,Economy Class,Heraklion to Luton,August 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Heraklion,Luton,,Positive,0.785
41,N Hadar,France,2023-08-23,1,Really bad experience. I have the Canadian passport and had to pay 40 JOD for a visa while I was was only transiting through Amman and not going out of the airport. There was no information at all from Wizz Air about this nor on the booking nor in the confirmation email. I didn't even have the amount on me so I had to borrow money from someone. I would not recommend this airline.,,Solo Leisure,Economy Class,Beirut to Milan via Amman,August 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Beirut,Milan,Amman,Negative,-0.4005
42,Branko Krstic,Serbia,2023-08-23,1,"I did get a notification that my flight was moved from 18:45 to 21:00. I Arrived at 18:30 and could not find any check-in counter open. I could not even get the ticket. When I asked for general information, they pointed me to another empty counter. I lost 300 euros and don't even have access to their support.",,Solo Leisure,Economy Class,Belgrade to Barcelona,August 2023,,,,,1.0,,1,no,False,Belgrade,Barcelona,,Negative,-0.2023
43,Ali Shahza,United Arab Emirates,2023-08-23,1,"The worst designed airline, first show basic price and then you have to pay on airport for check in and then hand luggage and then food in flight. If you calculate like this you can choose a good alternative airline, but never go to choose this airline . In my life traveled many countries but this was my first time got cheated by a international airline. Worst service",,Family Leisure,Economy Class,Baku to Abu Dhabi,August 2023,2.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Baku,Abu Dhabi,,Negative,-0.5719
44,Kat Ji,Poland,2023-08-22,1,"I DO NOT recommend to buy a Wizz Air Discount! I bought, and there should be a discount 5euro if you buy online baggage. I compared the price when I’m not logged in and after when already my discount is active! And ATTENTION the price is the same, they think probably people are stupid that is why the company doesn’t follow their regulations and the of course there is no discount. Such a small thing, but better to choose Ryanair instead. Check screens I will add.",,Couple Leisure,Economy Class,Wroclaw to Gdansk,August 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,False,Wroclaw,Gdansk,,Neutral,0.4404
